Name,Synonym,CAS,SMILES,CID
Temsirolimus,CCI-779; NSC 683864,162635-04-3,CO[C@@H]1C[C@H](C[C@@H](C)[C@@H]2CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C/C=C/C=C(C)/[C@H](C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@H]3C(=O)O2)OC)CC[C@H]1OC(=O)C(C)(CO)CO,
6-Mercaptopurine hydrate,6-Mercaptopurine monohydrate; 6-Mercaptopurine hydrate; 6-Mercaptopurine (6-MP) Monohydrate,6112-76-1,c1nc2c([nH]1)c(=S)nc[nH]2.O,
Icotinib Hydrochloride,BPI-2009H,1204313-51-8,C#Cc1cc(ccc1)Nc1ncnc2cc3OCCOCCOCCOc3cc12.Cl,
INH1,IBT13131,313553-47-8,Cc1cc(C)c(c2csc(NC(=O)c3ccccc3)n2)cc1,
Crocin,Alpha-Crocin; Gardenia Yellow,42553-65-1,CC(\C=C\C=C(/C)C(=O)O[C@@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O)=C/C=C/C=C(C)/C=C/C=C(\C)C(=O)O[C@@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O,
p-Coumaric acid,trans-4-Hydroxycinnamic acid; 4-Hydroxycinnamic acid; P-Hydroxycinnamic acid; 4-Coumaric acid; Trans-p-Coumaric acid; para-Coumaric Acid,501-98-4,c1cc(ccc1/C=C/C(=O)O)O,
Liensinine Perchlorate,,2385-63-9,OCl(=O)(=O)=O.COc1cc2CCN(C)[C@H](Cc3ccc(O)c(Oc4cc5[C@@H](Cc6ccc(O)cc6)N(C)CCc5cc4OC)c3)c2cc1OC,
Caudatin,,38395-02-7,CC(C)C(\C)=C\C(=O)O[C@@H]1C[C@@H]2[C@@]3(C)CC[C@H](O)CC3=CC[C@@]2(O)[C@@]2(O)CC[C@@](O)(C(C)=O)[C@@]12C,
NSC5844,RE-640,140926-75-6,c1cc2c(ccnc2cc1Cl)NCCNc1c2ccc(cc2ncc1)Cl,
Midostaurin,CGP 41251; PKC412; CGP41231; N-Benzoylstaurosporine,120685-11-2,CO[C@@H]1[C@@H](C[C@@H]2O[C@]1(C)n1c3ccccc3c3c4CNC(=O)c4c4c5ccccc5n2c4c13)N(C)C(=O)c1ccccc1,
SZL P1-41,,222716-34-9,CCc1c(c(c2c(c1)c(=O)c(co2)c1nc2ccccc2s1)CN1CCCCC1)O,
trans-Chalcone,Chalcone; trans-Chalcone; Chalkone; Cinnamophenone,614-47-1,c1ccc(cc1)/C=C/C(=O)c1ccccc1,
Corosolic acid,Corsolic acid; Glucosol; Colosolic acid; Colosic acid; 2α-Hydroxyursolic acid,4547-24-4,C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]3[C@@]4(C[C@H]([C@@H](C3(C)C)O)O)C)C)[C@@H]2[C@H]1C)C)C(=O)O,
Hydroxytyrosol,"3,4-Dihydroxyphenylethanol; Hydroxytyrosol; 3-Hydroxytyrosol; 3,4-dihydroxyphenylethanol; Dihydroxyphenylethanol; 2-(3,4-Di-hydroxyphenyl)-ethanol",10597-60-1,c1cc(c(cc1CCO)O)O,
Lys05,Lys01 trihydrochloride,1391426-24-6,c12c(cc(cc1)Cl)nccc2NCCN(CCNc1ccnc2c1ccc(c2)Cl)C.Cl.Cl.Cl,
EED226,,2083627-02-3,c1(n2c(c(cn1)c1ccc(cc1)S(=O)(=O)C)nnc2)NCc1occc1,
CPI-455,CPI455; CPI 455; CPI-455; CPI-455 HCl,1628208-23-0,CC(C)c1c([nH]c2c(cnn2c1=O)C#N)c1ccccc1,
Atractyloside A,,126054-77-1,CC(C)(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@@H]1CC[C@](O)(CO)[C@H]2CC(=O)[C@@](C)(O)[C@@H]2C1,
HMN-154,HMN154; HMN 154; HMN-154,173528-92-2,c1(c(cccc1)/C=C/c1ccncc1)NS(=O)(=O)c1ccc(cc1)OC,
Lapachol,Tecomin; CI75490; Bethabarra wood; Greenhartin,84-79-7,C\C(C)=C\CC1=C(O)C(=O)c2ccccc2C1=O,
R162,,64302-87-0,O=C(C1=C2C=CC=C1)C3=CC=C(CC=C)C(O)=C3C2=O,
OSS_128167,SIRT6-IN-1,887686-02-4,O=C(Nc1cc(ccc1)C(=O)Nc2cc(C(=O)O)c(O)cc2)c3ccco3,
Idarubicin hydrochloride,"Idarubicin HCl; 4-Demethoxydaunorubicin hydrochloride; Idarubicin hydrochloride; 4-demethoxydaunorubicin (NSC256439, 4-DMDR) HCl; Zavedos; Idamycin",57852-57-0,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]1C[C@@](Cc2c(c3c(c(c12)O)C(=O)c1ccccc1C3=O)O)(C(=O)C)O)N)O.Cl,
Gemcitabine hydrochloride,Gemcitabine HCl; Gemcitabine Hydrochloride; LY 188011 hydrochloride; LY188011; Gemzar,122111-03-9,Cl.Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,
Bleomycin Sulfate,NSC125066; Blenoxane,9041-93-4,OS([O-])(=O)=O.C[C@@H](O)[C@H](NC(=O)[C@@H](C)[C@H](O)[C@@H](C)NC(=O)[C@@H](NC(=O)c1nc(nc(N)c1C)[C@H](CC(N)=O)NC[C@H](N)C(N)=O)[C@@H](O[C@@H]1O[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](OC(N)=O)[C@@H]1O)c1cnc[nH]1)C(=O)NCCc1nc(cs1)-c1nc(cs1)C(=O)NCCC[S+](C)C,
Pralatrexate,Folotyn; 10-Propargyl-10-deazaaminopterin,146464-95-1,C#CCC(Cc1cnc2c(n1)c(nc(n2)N)N)c1ccc(cc1)C(=O)N[C@@H](CCC(=O)O)C(=O)O,
Pemetrexed disodium hemipenta hydrate,Pemetrexed Disodium Hydrate; Pemetrexed disodium hemipenta hydrate; Pemetrexed sodium hydrate; LY-231514 Disodium Hydrate,357166-30-4,OC(CC[C@@H](C(O)=O)NC(C(C=C1)=CC=C1CCC2=CNC(NC(N)=N3)=C2C3=O)=O)=O.OC(CC[C@@H](C(O)=O)NC(C(C=C4)=CC=C4CCC5=CNC(NC(N)=N6)=C5C6=O)=O)=O.[Na].O.[Na].O.[Na].O.[Na].O.O,
Lapatinib Ditosylate,GW-572016 ditosylate; Lapatinib (GW-572016) Ditosylate; Tykerb ditosylate,388082-77-7,Cc1ccc(cc1)S(O)(=O)=O.Cc1ccc(cc1)S(O)(=O)=O.CS(=O)(=O)CCNCc1ccc(o1)-c1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1,
Palbociclib Isethionate,PD 0332991 isethionate; Palbociclib (PD0332991) Isethionate,827022-33-3,OCCS(O)(=O)=O.CC(=O)c1c(C)c2cnc(Nc3ccc(cn3)N3CCNCC3)nc2n(C2CCCC2)c1=O,
Tie2 kinase inhibitor 1,Tie2 kinase inhibitor,948557-43-5,COc1ccc2cc(ccc2c1)-c1[nH]c(nc1-c1ccncc1)-c1ccc(cc1)S(C)=O,
TAI-1,TAI1; TAI 1; TAI-1,1334921-03-7,COC1=CC=C(OC2=CC(C)=C(C3=CSC(NC(=O)C4=CC=NC=C4)=N3)C(C)=C2)C=C1,
Ulipristal,,159811-51-5,[H][C@@]12CC[C@](O)(C(C)=O)[C@@]1(C)C[C@H](C1=CC=C(C=C1)N(C)C)C1=C3CCC(=O)C=C3CC[C@@]21[H],
Dp44mT,,152095-12-0,CN(C)C(=S)NN=C(c1ccccn1)c1ncccc1,
Epoxomicin,"BU-4061T; BU-4061T,Aids010837",134381-21-8,CC[C@H](C)[C@H](NC(=O)[C@H]([C@@H](C)CC)N(C)C(C)=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CC(C)C)C(=O)[C@@]1(C)CO1,
Fatostatin hydrobromide,Fatostatin; Fatostatin HBr; Fatostatin A; Fatostatin A HBr,298197-04-3,Cc1ccc(cc1)c1csc(c2cc(CCC)ncc2)n1.Br,
Flavopiridol,Alvocidib; HMR-1275; L868275; NSC 649890 HCl,146426-40-6,[H][C@@]1(CCN(C)C[C@H]1O)C1=C2OC(=CC(=O)C2=C(O)C=C1O)C1=C(Cl)C=CC=C1,
Marimastat,TA2516; BB2516; KB-R8898,154039-60-8,C(=O)([C@@H]([C@@H](C(=O)NO)O)CC(C)C)N[C@H](C(=O)NC)C(C)(C)C,
Pazopanib Hydrochloride,Pazopanib HCl; GW786034; Pazopanib Hydrochloride; GW786034 HCl; Votrient HCl; Armala,635702-64-6,Cl.CN(C1=CC2=NN(C)C(C)=C2C=C1)C1=NC(NC2=CC=C(C)C(=C2)S(N)(=O)=O)=NC=C1,
Bellidifolin,Bellidifoline; Bellidifolium,2798-25-6,COC1=CC(=C2C(=C1)OC3=C(C=CC(=C3C2=O)O)O)O,
Punicalagin,,65995-63-3,OC1O[C@@H]2COC(=O)c3cc(O)c(O)c(O)c3-c3c(O)c(O)c4oc(=O)c5c(c(O)c(O)c6oc(=O)c3c4c56)-c3c(O)c(O)c(O)cc3C(=O)O[C@H]2[C@@H]2OC(=O)c3cc(O)c(O)c(O)c3-c3c(O)c(O)c(O)cc3C(=O)O[C@@H]12,
Bergaptol,4-Hydroxybergapten; 5-Hydroxypsoralen; 5-Hydroxyfuranocoumarin,486-60-2,Oc1c2ccoc2cc2oc(=O)ccc12,
Hydroxygenkwanin,7-O-Methylluteolin; Luteolin 7-methylether,20243-59-8,COc1cc(O)c2c(c1)oc(-c1ccc(O)cc1)c(O)c2=O,
gypenoside A,,157752-01-7,C[C@@H]1O[C@@H](O[C@H]2[C@H](O[C@H]3CC[C@@]4(C=O)[C@@H](CC[C@]5(C)[C@@H]4CC[C@@H]4[C@H](CC[C@@]54C)C4(O)CC(OC4O)\C=C(/C)C)C3(C)C)OC[C@H](O)[C@@H]2O[C@@H]2OC[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H](O)[C@H]1O,
"N-Benzoyl-(2R,3S)-3-phenylisoserine","N-Benzoyl-(2R,3S)-3-phenylisoserine; taxol side chain",132201-33-3,O[C@H]([C@@H](NC(=O)c1ccccc1)c1ccccc1)C(O)=O,
Thonningianin A,,271579-11-4,O[C@H]1[C@H](Oc2cc(O)c(C(=O)CCc3ccccc3)c(O)c2)O[C@@H]2COC(=O)c3cc(O)c(O)c(O)c3-c3c(O)c(O)c(O)cc3C(=O)O[C@H]2[C@@H]1OC(=O)c1cc(O)c(O)c(O)c1,
Tubeimoside II,Tubeimoside-B,115810-12-3,C[C@@H]1O[C@H]2O[C@@H]3[C@H](O)[C@@H](O)CO[C@H]3OC(=O)[C@]34CCC(C)(C)C[C@H]3C3=CC[C@@H]5[C@@]6(C)C[C@H](O)[C@H](O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O)[C@H]7O[C@@H]7OC[C@H](OC(=O)C[C@](C)(O)CC(=O)O[C@@H]1[C@@H](O[C@@H]1OC[C@@H](O)[C@H](O)[C@H]1O)[C@H]2O)[C@H](O)[C@H]7O)[C@@](C)(CO)[C@@H]6CC[C@@]5(C)[C@]3(C)C[C@H]4O,
AIM-100,AIM100; AIM 100; AIM-100,873305-35-2,C(Nc1ncnc2oc(c(-c3ccccc3)c12)-c1ccccc1)[C@@H]1CCCO1,
dBET6,,1950634-92-0,Cc1sc-2c(c1C)C(=N[C@@H](CC(=O)NCCCCCCCCNC(=O)COc1cccc3C(=O)N(C4CCC(=O)NC4=O)C(=O)c13)c1nnc(C)n-21)c1ccc(Cl)cc1,
CA-5f,,1370032-19-1,COc1ccc(\C=C2/CN(C)C\C(=C/c3c[nH]c4ccccc34)C2=O)cc1OC,
DIM-C-pPhCO2Me,,151358-48-4,COC(=O)c1ccc(cc1)C(c1c[nH]c2ccccc12)c1c[nH]c2ccccc12,
S-Gboxin,,2101317-21-7,[I-].CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OC(=O)Cn1c(-c2cccc(c2)C(F)(F)F)[n+](C)c2ccccc12,
BAY-8002,BAY8002; BAY 8002; BAY-8002,724440-27-1,OC(=O)c1ccccc1NC(=O)c1cc(ccc1Cl)S(=O)(=O)c1ccccc1,
ML216,CID-49852229,1430213-30-1,Fc1ccc(NC(=O)Nc2nnc(s2)-c2ccncc2)cc1C(F)(F)F,
DC661,,1872387-43-3,CN(CCCCCCNc1ccnc2cc(Cl)ccc12)CCCCCCNc1ccnc2cc(Cl)ccc12,
VK3-OCH3,"2-[(2-Methoxy)ethylthio]-3-methyl-1,4-na",255906-59-3,COCCSC1=C(C)C(=O)c2ccccc2C1=O,
Bropirimine,U-54461,56741-95-8,Nc1nc(-c2ccccc2)c(Br)c(=O)[nH]1,
Clanfenur,,51213-99-1,CN(C)c1cccc(F)c1C(=O)NC(=O)Nc1ccc(Cl)cc1,
Almonertinib,HS-10296; Almonertinib,1899921-05-1,COc1cc(N(C)CCN(C)C)c(NC(=O)C=C)cc1Nc1nccc(n1)-c1cn(C2CC2)c2ccccc12,
YF-2,YF 2,1311423-89-8,CCOc1cccc(OCCN(C)C)c1C(=O)Nc1ccc(Cl)c(c1)C(F)(F)F,
TRi-1,,246020-68-8,COc1ccc(c(n1)S(=O)(=O)c1ccc(Cl)cc1)[N+]([O-])=O,
(±)-Norcantharidin,Endothall Anhydride; Endothall anhydride,29745-04-8,[H][C@@]12[C@H]3CC[C@H](O3)[C@]1([H])C(=O)OC2=O,
BTR-1,5-Benzylidene-3-ethyl rhodanine,18331-34-5,CCN1C(=S)S\C(C1=O)=C/c1ccccc1,
Amsacrine hydrochloride,m-AMSA hydrochloride; acridinyl anisidide hydrochloride,54301-15-4,Cl.COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,
3-Bromopyruvic acid,"Bromopyruvic acid; Hexokinase II Inhibitor II, 3-BP",1113-59-3,OC(=O)C(=O)CBr,
Trametinib (DMSO solvate),Trametinib DMSO solvate; GSK-1120212 (DMSO solvate); Trametinib dimethyl sulfoxide; JTP-74057 (DMSO solvate),1187431-43-1,CS(C)=O.CC(=O)Nc1cccc(c1)-n1c2c(C)c(=O)n(C)c(Nc3ccc(I)cc3F)c2c(=O)n(C2CC2)c1=O,
H3B-5942,,2052128-15-9,CC\C(=C(\c1ccc(OCCNC\C=C\C(=O)N(C)C)cc1)c1ccc2[nH]ncc2c1)c1ccccc1,
"2,2'-Anhydrouridine","2,2'-Cyclouridine; 2,2'-Anhydrouridine; O2,2'-Cyclouridine",3736-77-4,OC[C@H]1O[C@@H]2[C@@H](Oc3nc(=O)ccn23)[C@@H]1O,
Fadrozole,,102676-47-1,N#Cc1ccc(cc1)C1CCCc2cncn12,
JQEZ5,,1913252-04-6,CCCc1cc(C)[nH]c(=O)c1CNC(=O)c1cc(nc2n(ncc12)C(C)C)-c1ccc(nc1)N1CCN(C)CC1,
Methuosis inducer 1,,2240205-30-3,Cc1ccc(NC(=O)c2cccc(c2)C(F)(F)F)cc1Nc1cc(nc2[nH]ccc12)-c1cccnc1,
Tyr-Gly-Gly-Phe-Met-OH,Met-Enkephalin; Methionine enkephalin,58569-55-4,CSCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)[C@@H](N)Cc1ccc(O)cc1)C(O)=O,
KPT-6566,,881487-77-0,CC(C)(C)c1ccc(cc1)S(=O)(=O)\N=C1/C=C(SCC(O)=O)C(=O)c2ccccc12,
Theaflavin,,4670-05-7,O=c1c(O)cc([C@H]2Oc3cc(O)cc(O)c3C[C@H]2O)cc2c([C@H]3Oc4cc(O)cc(O)c4C[C@H]3O)cc(O)c(O)c12,
Fadrozole hydrochloride,CGS 16949A,102676-31-3,Cl.N#Cc1ccc(C2CCCc3cncn32)cc1,
Belotecan hydrochloride,CKD-602,213819-48-8,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccccc1c2CCNC(C)C.Cl,
Tetraethylammonium chloride,,56-34-8,CC[N+](CC)(CC)CC.[Cl-],
Fmoc-Ser(O-α-D-GalNAc(OAc)3)-OH,Fmoc-Ser-(GalNAc(Ac)3-alpha-D)-OH; Fmoc-Ser[GalNAc(Ac)3-α-D]-OH; Fmoc-Ser(Ac3AcNH-α-Gal)-OH,120173-57-1,CC(=O)N[C@H]1[C@@H](OC[C@H](NC(=O)OCC2c3ccccc3-c3ccccc32)C(=O)O)O[C@H](COC(C)=O)[C@H](OC(C)=O)[C@@H]1OC(C)=O,
IDO inhibitor 1,,1204669-37-3,NS(=O)(=O)NCCNc1nonc1/C(=N/O)Nc1ccc(F)c(Br)c1,
Larotrectinib,LOXO-101; ARRY-470,1223403-58-4,O=C(Nc1cnn2ccc(N3CCC[C@@H]3c3cc(F)ccc3F)nc12)N1CC[C@H](O)C1,
Datelliptium chloride hydrochloride,,157000-76-5,CCN(CC)CC[n+]1ccc2c(C)c3[nH]c4ccc(O)cc4c3c(C)c2c1.Cl.[Cl-],
zanubrutinib,BGB-3111,1691249-45-2,C=CC(=O)N1CCC(C2CCNc3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)nn32)CC1,
BIX-01294,,935693-62-2,COc1cc2nc(N3CCCN(C)CC3)nc(NC3CCN(Cc4ccccc4)CC3)c2cc1OC,
Aminopterin,4-Aminofolic acid; APGA,54-62-6,Nc1nc(N)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2n1,
Hispidin,,555-55-5,O=c1cc(O)cc(/C=C/c2ccc(O)c(O)c2)o1,
CM10,CM 10,692269-09-3,C=CCc1cccc(CNc2nc3ccccc3n2CCC)c1O,
Flumatinib mesylate,HHGV678 mesylate,895519-91-2,CS(=O)(=O)O.Cc1ncc(NC(=O)c2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1Nc1nccc(-c2cccnc2)n1,
Salvigenin,,19103-54-9,COc1ccc(-c2cc(=O)c3c(O)c(OC)c(OC)cc3o2)cc1,
Milnacipran ((1S-cis) hydrochloride),Levomilnacipran Hydrochloride,175131-60-9,CCN(CC)C(=O)[C@@]1(c2ccccc2)C[C@H]1CN.Cl,
CM-272,,1846570-31-7,COc1cc2c(NC3CCN(C)CC3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1,
USP25/28 inhibitor AZ1,AZ1,2165322-94-9,OCCNCc1cc(Br)ccc1OCc1ccc(F)c(C(F)(F)F)c1,
Dipyrithione,,3696-28-4,[O-][n+]1ccccc1SSc1cccc[n+]1[O-],
Methotrexate disodium,,7413-34-5,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)[O-])C(=O)[O-])cc1.[Na+].[Na+],
2-O-α-D-Glucopyranosyl-L-ascorbic Acid,ASCORBYL GLUCOSIDE; 2-O-α-D-Glucopyranosyl-L-ascorbic Acid ,129499-78-1,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,
"(1E,6E)-Bis(demethoxy)curcumin",BDMC; Curcumin III; Didemethoxycurcumin,33171-05-0,Oc1ccc(/C=C/C(CC(/C=C/c(cc2)ccc2O)=O)=O)cc1,
"3,6-Dihydroxyflavone",,108238-41-1,Oc(cc1)cc(C2=O)c1OC(c1ccccc1)=C2O,
β-Ionone,β-lonone,14901-07-6,CC1(C)C(C=CC(C)=O)=C(C)CCC1,
(−)-Myrtenal,(1R)-(−)-Myrtenal,18486-69-6,CC1(C)[C@@H]2C[C@H]1C(C=O)=CC2,
α-Angelica lactone,Alpha-Angelica Lactone,591-12-8,CC1=CCC(=O)O1,
(±)-Catechin,(±)-Catechin hydrate,7295-85-4,O[C@@H](C1)[C@@H](c(cc2)cc(O)c2O)Oc2c1c(O)cc(O)c2,
10Z-Nonadecenoic acid,,73033-09-7,CCCCCCCC/C=C\CCCCCCCCC(O)=O,
Asiaticoside B,,125265-68-1,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)OC[C@@H]3[C@H]([C@@H]([C@H]([C@@H](O3)OC(=O)[C@@]45CC[C@@]6(C(=CC[C@H]7[C@]6(C[C@H]([C@@H]8[C@@]7(C[C@H]([C@@H]([C@@]8(C)CO)O)O)C)O)C)[C@@H]4CC(CC5)(C)C)C)O)O)O)CO)O)O)O,
Prosapogenin A,Progenin III,19057-67-1,C[C@@H]([C@@H]([C@H](C1)O2)[C@@](C)(CC3)[C@@H]1[C@H]1[C@H]3[C@@](C)(CC[C@@H](C3)O[C@@H]([C@@H]([C@H]4O)O[C@@H]([C@@H]([C@@H]5O)O)O[C@@H](C)[C@@H]5O)O[C@H](CO)[C@H]4O)C3=CC1)[C@@]21OC[C@H](C)CC1,
Lentinan,,37339-90-5,C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)O)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)O)O)O)O)O)O)O)O,
Arenobufagin,,464-74-4,[H][C@]12CC[C@]3([H])[C@]([H])([C@H](O)C(=O)[C@]4(C)[C@H](CC[C@]34O)c3ccc(=O)oc3)[C@@]1(C)CC[C@H](O)C2,
Sophoraflavanone G,Kushenol F; Vexibinol,97938-30-2,CC(C)=CC[C@H](Cc(c(O[C@@H](CC1=O)c(ccc(O)c2)c2O)c1c(O)c1)c1O)C(C)=C,
Poricoic acid A,Poricoic acid A(F),137551-38-3,CC(C)C(CC[C@H]([C@@H]([C@@H](C1)O)[C@@](C)(CC=C2[C@@]3(C)CCC(O)=O)[C@]1(C)C2=CC[C@H]3C(C)=C)C(O)=O)=C,
Harringtonine,,26833-85-2,CC(C)(CC[C@@](CC(=O)OC)(C(=O)O[C@H]1[C@H]2C3=CC4=C(C=C3CCN5[C@@]2(CCC5)C=C1OC)OCO4)O)O,
Podophyllotoxone,,477-49-6,COc1cc([C@@H]([C@H]([C@@H]2CO3)C3=O)c(cc3OCOc3c3)c3C2=O)cc(OC)c1OC,
γ-Tocopherol,(+)-γ-Tocopherol,54-28-4,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@](C)(CC1)Oc(c(C)c2C)c1cc2O,
Mogroside IV-E,mogroside Ive; Mogroside IV-E ,88915-64-4,C[C@H](CC[C@H](C(C)(C)O)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)[C@H]3CC[C@@]4([C@@]3(C[C@H]([C@@]5([C@@H]4CC=C6[C@H]5CC[C@@H](C6(C)C)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O)O)O)O)C)O)C)C,
Decursinol,,23458-02-8,CC1(C)Oc2cc(OC(C=C3)=O)c3cc2C[C@@H]1O,
1V209,TLR7 agonist T7,1062444-54-5,COCCOc1nc(N)c2[nH]c(=O)n(Cc3ccc(cc3)C(O)=O)c2n1,
Enzalutamide carboxylic acid,,1242137-15-0,CC1(C)N(C(=S)N(C1=O)c1ccc(C#N)c(c1)C(F)(F)F)c1ccc(C(O)=O)c(F)c1,
L-732138,,148451-96-1,CC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)OCc1cc(cc(c1)C(F)(F)F)C(F)(F)F,
Mobocertinib,tak788,1847461-43-1,COc1cc(N(C)CCN(C)C)c(NC(=O)C=C)cc1Nc1ncc(C(=O)OC(C)C)c(n1)-c1cn(C)c2ccccc12,
Selpercatinib,LOXO-292,2152628-33-4,COc1ccc(CN2C3CC2CN(C3)c2ccc(cn2)-c2cc(OCC(C)(C)O)cn3ncc(C#N)c23)cn1,
